Accel_X	Accel_Y	Accel_Z	Cont_TempV	Cont_TempDegC	Cont_TempDegF	IF_Temp_ObjDegC	IF_Temp_ObjDegF	IF_Temp_LocDegC	IF_Temp_LocDegF	SoundV	SoundRaw	SoundScl	RPM_Hz	RPM	Current	Error
0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0
0.07	-0.136	0.963	0.258	-24.462	-12.268	16.844	62.319	20.844	69.519	0.063	152	6.418	1	4	-0.229	0
0.078	-0.132	0.963	0.667	16.549	61.868	16.844	62.319	20.844	69.519	0.079	178	7.824	1	4	0.492	0
0.078	-0.132	0.963	0.667	16.549	61.868	16.844	62.319	20.844	69.519	0.079	178	7.824	1	4	0.492	0
0.07	-0.136	0.967	0.241	-26.264	-15.433	16.844	62.319	20.844	69.519	0.067	146	6.286	1	4	-0.141	0
0.074	-0.132	0.959	0.223	-27.846	-18.44	16.844	62.319	20.844	69.519	0.063	145	6.593	1	4	-0.211	0
0.066	-0.132	0.959	0.227	-27.495	-17.49	16.844	62.319	20.844	69.519	0.063	142	6.374	1	4	-0.229	0
0.07	-0.132	0.959	0.254	-24.813	-12.822	16.844	62.319	20.844	69.519	0.068	150	6.681	1	4	-0.176	0
0.074	-0.14	0.956	0.665	16.374	61.473	16.844	62.319	20.844	69.519	0.081	184	7.956	1	4	0.492	0
0.074	-0.136	0.959	0.298	-20.374	-5.068	16.844	62.319	20.844	69.519	0.067	149	6.725	1	4	-0.141	0
0.07	-0.136	0.959	0.667	16.637	61.947	16.844	62.319	20.844	69.519	0.08	182	7.956	1	4	0.492	0
0.07	-0.14	0.959	0.668	16.725	62.105	16.844	62.319	20.844	69.519	0.082	184	8	1	4	0.58	0
0.074	-0.132	0.959	0.668	16.769	62.026	16.844	62.319	20.844	69.519	0.083	188	8.132	1	4	0.475	0
0.078	-0.136	0.959	0.666	16.637	62.105	16.844	62.319	20.844	69.519	0.081	183	7.956	1	4	0.563	0
0.074	-0.136	0.963	0.45	-5.297	22.308	16.844	62.319	20.844	69.519	0.071	163	7.077	1	4	0.07	0
0.07	-0.136	0.959	0.444	-5.692	21.912	16.844	62.319	20.844	69.519	0.071	162	7.165	1	4	0.193	0
0.074	-0.136	0.963	0.668	16.725	61.947	16.844	62.319	20.844	69.519	0.079	183	7.912	1	4	0.492	0
0.066	-0.136	0.967	0.668	16.681	62.026	16.844	62.319	20.844	69.519	0.082	182	8.044	1	4	0.527	0
0.066	-0.136	-0.039	0.667	16.681	62.185	16.844	62.319	20.844	69.519	0.079	180	8	1	4	0.457	0
