Accel_X,Accel_Y,Accel_Z,Cont_TempV,Cont_TempDegC,Cont_TempDegF,IF_Temp_ObjDegC,IF_Temp_ObjDegF,IF_Temp_LocDegC,IF_Temp_LocDegF,SoundV,SoundRaw,SoundScl,RPM_Hz,RPM,Current
0.058,-0.132,0.952,0.628,12.593,54.668,16.406,61.531,0,0,0.076,172,7.56,1,4,0.422
0.055,-0.136,0.948,0.626,12.505,54.668,16.406,61.531,15.438,59.787,0.085,193,8.396,1,4,0.457
0.055,-0.14,0.948,0.626,12.593,54.589,16.406,61.531,15.438,59.787,0.085,187,8.352,1,4,0.369
0.055,-0.136,0.956,0.626,12.593,54.589,16.406,61.531,15.438,59.787,0.079,180,7.78,1,4,0.457
0.055,-0.136,0.956,0.626,12.593,54.589,16.406,61.531,15.438,59.787,0.079,180,7.78,1,4,0.457
0.062,-0.144,0.956,0.511,0.989,33.78,16.406,61.531,15.438,59.787,0.073,168,7.429,1,4,0.158
0.062,-0.144,0.956,0.511,0.989,33.78,16.406,61.531,15.438,59.787,0.073,168,7.429,1,4,0.158
0.058,-0.14,0.948,0.626,12.549,54.51,16.406,61.531,15.438,59.787,0.077,174,7.736,1,4,0.492
0.062,-0.14,0.959,0.627,12.593,54.668,16.406,61.531,15.438,59.787,0.082,180,7.912,1,4,0.369
0.058,-0.144,0.956,0.627,12.637,54.747,16.406,61.531,15.438,59.787,0.091,206,9.143,1,4,0.492
0.058,-0.144,0.956,0.627,12.637,54.747,16.406,61.531,15.438,59.787,0.091,206,9.143,1,4,0.492
0.055,-0.14,0.959,0.437,-6.264,20.567,16.406,61.531,15.438,59.787,0.069,152,6.813,1,4,0.158
0.058,-0.144,0.952,0.416,-8.462,16.532,16.406,61.531,15.438,59.787,0.08,177,7.604,1,4,0.211
0.058,-0.14,0.959,0.396,-10.44,13.13,16.406,61.531,15.438,59.787,0.068,151,6.549,1,4,0.088
0.058,-0.14,0.959,0.396,-10.44,13.13,16.406,61.531,15.438,59.787,0.068,151,6.549,1,4,0.088
0.058,-0.136,0.948,0.349,-15.187,4.426,16.406,61.531,15.438,59.787,0.069,154,6.857,1,4,0.035
