tmp local (C), tmp object (C), sound voltage (V), current (A),
9.00,10.00,4.96,1.05,691070924
9.00,10.00,5.05,1.11,915074984
9.00,10.00,5.05,1.10,904412684
9.00,10.00,5.05,33.23,-2100078000
9.00,10.00,5.05,-41.93,419897428
9.00,10.00,5.05,-30.29,-1665652748
9.00,10.00,5.05,1.03,627065204
9.00,10.00,5.04,10.28,1254828336
9.00,10.00,5.04,-5.12,-1162626236
9.00,10.00,5.04,9.46,-1838578884
9.00,10.00,5.04,-17.65,-1311135420
9.00,10.00,5.04,7.91,873907688
9.00,10.00,5.04,-7.34,-988916244
9.00,10.00,5.05,4.37,393139796
9.00,10.00,5.05,-3.85,-668146632
9.00,10.00,5.05,1.82,-691811912
9.00,10.00,5.04,4.10,-662874544
9.00,10.00,5.05,-3.77,-369474612
9.00,10.00,5.05,1.10,893750444
9.00,10.00,5.04,5.78,1410295420
9.00,10.00,5.04,2.68,-1733373648
9.00,10.00,5.04,-7.40,-1212920304
9.00,10.00,5.04,-5.19,-1418649236
9.00,10.00,5.04,-13.99,-361034988
9.00,10.00,5.04,-9.71,-1348512412
9.00,10.00,5.04,-6.40,-1699787020
9.00,10.00,5.05,-2.40,551688512
9.00,10.00,5.05,6.39,-569931456
9.00,10.00,5.05,8.10,1599263228
9.00,10.00,5.05,-7.47,-1468911084
9.00,10.00,5.04,2.98,-591996828
9.00,10.00,5.05,2.94,-752027328
9.00,10.00,5.04,-0.63,-1350112260
9.00,10.00,5.04,2.23,854891728
9.00,10.00,5.04,4.27,9137516
9.00,10.00,5.04,-8.03,724657552
9.00,10.00,5.04,4.43,595819316
9.00,10.00,5.04,4.47,734493056
9.00,10.00,5.04,-1.50,-372556244
9.00,10.00,5.05,-5.84,401611640
9.00,10.00,5.05,-2.96,-1592391388
9.00,10.00,5.05,5.14,-1011099740
9.00,10.00,5.05,6.10,-1657964796
9.00,10.00,5.05,3.72,-2092261144
9.00,10.00,5.04,0.30,-2146313296
9.00,10.00,5.04,-2.68,-536344828
9.00,10.00,5.04,-5.22,-1557322976
9.00,10.00,5.04,-6.89,717817836
9.00,10.00,5.04,-5.88,241581140
9.00,10.00,5.04,-7.63,-2087579604
