tmp local (C), tmp object (C), sound voltage (V), current (A),
10.00,12.00,4.81,-14.18,-1065033828
10.00,12.00,4.81,-25.08,-916750052
10.00,12.00,4.81,-25.94,1145049000
10.00,12.00,4.82,-27.30,-526616728
10.00,12.00,4.82,-27.21,177414332
10.00,12.00,4.82,-26.82,-1194838484
10.00,12.00,4.82,-26.69,-213459884
10.00,12.00,4.82,-27.05,1350777932
10.00,12.00,4.82,-26.88,-1685495504
10.00,12.00,4.81,-26.91,-1898837264
10.00,12.00,4.82,-26.69,-213459884
10.00,12.00,4.81,-26.20,-817675920
10.00,12.00,4.81,-26.41,1877244256
10.00,12.00,4.81,-26.42,1834595236
10.00,12.00,4.81,-26.54,917222416
10.00,12.00,4.81,-26.74,-576137684
10.00,12.00,4.81,-26.62,298553896
10.00,12.00,4.81,-26.72,-448126184
10.00,12.00,4.82,-26.97,1926797432
10.00,12.00,4.82,-27.01,1692098972
10.00,12.00,4.81,-27.15,604097852
10.00,12.00,4.82,-26.71,-384152624
10.00,12.00,4.82,-26.82,-1216162964
10.00,12.00,4.82,-26.93,-2005524284
10.00,12.00,4.82,-27.06,1265447672
10.00,12.00,4.82,-26.86,-1514834984
10.00,12.00,4.81,-26.11,-156326100
10.00,12.00,4.81,-26.33,-1777697760
10.00,12.00,4.81,-26.08,99664680
10.00,12.00,4.81,-26.56,746561896
10.00,12.00,4.81,-26.57,703880656
10.00,12.00,4.81,-26.33,-1756373220
10.00,12.00,4.81,-26.65,106536616
10.00,12.00,4.82,-27.08,1094754932
10.00,12.00,4.82,-27.17,412080572
10.00,12.00,4.82,-27.21,113408552
10.00,12.00,4.81,-25.91,1379715240
10.00,12.00,4.82,-26.76,-746798204
10.00,12.00,4.82,-26.66,-21474884
10.00,12.00,4.82,-26.82,-1237487504
10.00,12.00,4.82,-26.73,-533488664
10.00,12.00,4.81,-26.29,-1521706980
10.00,12.00,4.81,-26.44,1706583736
10.00,12.00,4.81,-26.40,1983931276
10.00,12.00,4.81,-25.89,1529051280
10.00,12.00,4.81,-26.71,-341471384
10.00,12.00,4.81,-26.40,1983931276
10.00,12.00,4.81,-26.37,-2055045240
10.00,12.00,4.81,-27.00,1713455672
10.00,12.00,4.81,-26.89,-1749501284
10.00,12.00,4.81,-27.19,284069072
10.00,12.00,4.81,-27.29,-483935488
10.00,12.00,4.81,-26.20,-817675920
10.00,12.00,4.81,-26.68,-128129624
10.00,12.00,4.81,-27.14,668071412
10.00,12.00,4.81,-26.62,341202916
10.00,12.00,4.81,-26.51,1109239696
10.00,12.00,4.81,-26.67,-85448444
10.00,12.00,4.81,-26.07,185027160
10.00,12.00,4.81,-26.66,-21474884
10.00,12.00,4.81,-26.59,554544676
10.00,12.00,4.81,-26.40,2005255756
10.00,12.00,4.81,-26.86,-1536159524
10.00,12.00,4.81,-27.26,-227944708
10.00,12.00,4.81,-26.94,-2090854544
10.00,12.00,4.81,-27.06,1286772152
10.00,12.00,4.81,-27.28,-355923988
10.00,12.00,4.81,-26.97,1926797432
10.00,12.00,4.81,-26.29,-1521706980
10.00,12.00,4.81,-27.18,369399332
10.00,12.00,4.81,-26.42,1834595236
10.00,12.00,4.81,-26.25,-1159029180
10.00,12.00,4.81,-27.06,1308096692
10.00,12.00,4.81,-26.32,-1713691980
10.00,12.00,4.81,-26.29,-1521706980
10.00,12.00,4.81,-26.80,-1045470224
10.00,12.00,4.81,-26.64,149217856
10.00,12.00,4.81,-26.68,-128129684
10.00,12.00,4.81,-27.45,-1657299088
10.00,12.00,4.81,-27.06,1244090912
10.00,12.00,4.81,-26.69,-234784424
10.00,12.00,4.81,-27.22,70727312
10.00,12.00,4.81,-27.28,-377280688
10.00,12.00,4.81,-26.52,1045233916
10.00,12.00,4.81,-27.52,2061648708
10.00,12.00,4.81,-26.57,703880656
10.00,12.00,4.81,-26.23,-1031017680
10.00,12.00,4.81,-26.62,319878376
10.00,12.00,4.81,-26.38,2133267256
10.00,12.00,4.81,-26.67,-85448444
10.00,12.00,4.81,-26.69,-234784424
10.00,12.00,4.81,-26.84,-1386823484
10.00,12.00,4.81,-26.56,767886436
10.00,12.00,4.81,-26.91,-1898837324
10.00,12.00,4.81,-27.14,689428112
10.00,12.00,4.81,-28.96,-250010080
10.00,12.00,4.81,-27.17,433405112
10.00,12.00,4.81,-27.24,-78608668
10.00,12.00,4.81,-26.88,-1621489784
10.00,12.00,4.82,-27.00,1734780212
10.00,12.00,4.81,-29.07,-1039371400
10.00,12.00,4.81,-26.80,-1045470224
10.00,12.00,4.81,-26.51,1109239696
10.00,12.00,4.80,-26.47,1450560736
10.00,12.00,4.81,-26.74,-576137684
10.00,12.00,4.81,-28.71,1712714780
10.00,12.00,4.81,-27.05,1372102412
10.00,12.00,4.82,-26.97,1990770992
10.00,12.00,4.82,-26.41,1898568796
10.00,12.00,4.82,-27.08,1116111632
10.00,12.00,4.82,-26.85,-1450829264
10.00,12.00,4.81,-26.82,-1216162964
10.00,12.00,4.82,-27.08,1094754932
10.00,12.00,4.82,-27.06,1308096692
10.00,12.00,4.82,-27.21,134733092
10.00,12.00,4.81,-26.40,1983931276
10.00,12.00,4.81,-26.64,149217856
10.00,12.00,4.81,-26.78,-874809704
10.00,12.00,4.81,-26.81,-1088151464
10.00,12.00,4.81,-26.77,-853485224
10.00,12.00,4.81,-26.51,1109239696
10.00,12.00,4.81,-26.73,-490807424
10.00,12.00,4.82,-27.08,1116111632
10.00,12.00,4.82,-27.28,-398605228
10.00,12.00,4.82,-26.66,-118184
10.00,12.00,4.82,-27.09,1073430392
10.00,12.00,4.82,-27.11,881413112
10.00,12.00,4.81,-26.67,-64123904
10.00,12.00,4.82,-27.09,1052105852
10.00,12.00,4.81,-26.60,490538896
10.00,12.00,4.81,-26.35,-1927033740
10.00,12.00,4.81,-26.65,106536616
10.00,12.00,4.81,-26.11,-156326100
10.00,12.00,4.81,-26.35,-1969714980
10.00,12.00,4.81,-26.90,-1813507064
10.00,12.00,4.81,-26.62,341202916
10.00,12.00,4.81,-26.57,661231636
10.00,12.00,4.82,-27.18,348074852
10.00,12.00,4.82,-27.20,220063352
10.00,12.00,4.82,-26.94,-2133503564
10.00,12.00,4.81,-26.38,2133267256
10.00,12.00,4.82,-27.04,1457432672
10.00,12.00,4.82,-26.75,-704149184
10.00,12.00,4.81,-27.16,518735372
10.00,12.00,4.81,-26.35,-1927033740
10.00,12.00,4.81,-26.12,-220331880
10.00,12.00,4.81,-26.95,2140106972
10.00,12.00,4.81,-26.39,2069261476
10.00,12.00,4.81,-25.16,-1535418632
10.00,12.00,4.81,-26.63,234548116
10.00,12.00,4.81,-26.77,-789479444
10.00,12.00,4.81,-26.60,490538896
10.00,12.00,4.81,-26.92,-1941518564
10.00,12.00,4.81,-26.56,746561896
10.00,12.00,4.81,-26.36,-1991039520
10.00,12.00,4.81,-27.24,-121257688
10.00,12.00,4.81,-26.20,-817675920
10.00,12.00,4.81,-26.17,-583009680
10.00,12.00,4.81,-26.59,511895596
10.00,12.00,4.81,-26.75,-704149184
10.00,12.00,4.81,-27.11,902769872
10.00,12.00,4.81,-27.18,390756092
10.00,12.00,4.81,-26.93,-2069497844
10.00,12.00,4.81,-26.67,-64123904
10.00,12.00,4.81,-26.00,697008720
10.00,12.00,4.81,-26.91,-1898837324
10.00,12.00,4.81,-26.56,767886436
10.00,12.00,4.81,-26.46,1535923216
10.00,12.00,4.81,-26.75,-704149184
10.00,12.00,4.81,-26.53,981228196
10.00,12.00,4.81,-26.55,874573396
10.00,12.00,4.81,-26.74,-576137684
10.00,12.00,4.80,-26.60,426533176
10.00,12.00,4.81,-28.83,774017480
10.00,12.00,4.81,-26.79,-938815484
10.00,12.00,4.81,-26.85,-1429504784
10.00,12.00,4.81,-26.70,-320146904
10.00,12.00,4.81,-26.79,-981496724
10.00,12.00,4.81,-27.00,1756104692
10.00,12.00,4.81,-26.62,277197136
10.00,12.00,4.80,-26.10,-28314600
10.00,12.00,4.81,-26.97,1948121972
10.00,12.00,4.81,-27.35,-910619008
10.00,12.00,4.81,-27.12,838764092
10.00,12.00,4.81,-26.96,2054776712
10.00,12.00,4.81,-27.01,1649449892
10.00,12.00,4.81,-26.98,1905440732
10.00,12.00,4.81,-27.08,1137436112
10.00,12.00,4.81,-26.27,-1308365220
10.00,12.00,4.81,-26.12,-220331880
10.00,12.00,4.81,-26.53,959903656
10.00,12.00,4.80,-26.72,-426801704
10.00,12.00,4.81,-26.81,-1130832704
10.00,12.00,4.81,-26.75,-704149184
10.00,12.00,4.81,-26.45,1621253476
10.00,12.00,4.81,-26.72,-469482944
