tmp local (C), tmp object (C), sound voltage (V), current (A),
10.00,12.00,4.72,-2.91,0
10.00,12.00,4.72,-2.76,0
10.00,12.00,4.71,-2.78,0
10.00,12.00,4.72,-2.73,0
10.00,12.00,4.73,-2.67,0
tmp local (C), tmp object (C), sound voltage (V), current (A),
10.00,12.00,4.72,-2.82,0
10.00,12.00,4.73,-2.64,0
10.00,12.00,4.73,-2.65,0
10.00,12.00,4.73,-2.65,0
tmp local (C), tmp object (C), sound voltage (V), current (A),
10.00,12.00,4.73,200.00,0
10.00,12.00,4.72,200.00,0
10.00,12.00,4.73,200.00,0
10.00,12.00,4.72,200.00,0
tmp local (C), tmp object (C), sound voltage (V), current (A),
10.00,12.00,4.68,0.01,0
10.00,12.00,4.73,0.01,0
10.00,12.00,4.72,0.01,0
10.00,12.00,4.72,0.01,0
tmp local (C), tmp object (C), sound voltage (V), current (A),
10.00,12.00,4.71,0.01,0
tmp local (C), tmp object (C), sound voltage (V), current (A),
10.00,12.00,4.68,0.99,0
10.00,12.00,4.79,0.61,0
10.00,12.00,4.79,0.60,0
10.00,13.00,4.77,0.60,0
10.00,12.00,4.79,0.60,0
